طابع زمني,Are you a student at University of Gezira?,Age,Gender,Faculty,Academic level,Causes of dental caries,Causes of bleeding during tooth brushing:,Influence of dental plaque:,Measures that prevent oral diseases:,Systemic diseases that may be related to oral diseases:,Which is more important for oral health: self-administration or dentist?:,Frequency of daily tooth brushing.,Duration of tooth brushing.,Frequency of replacing tooth brush.,Frequency of visiting dentist.,Method of tooth brushing:,Oral hygiene methods besides tooth brushing:,What oral health problem(s) do you have (you can choose more than one):
8/2/2024 8:39:11,Yes,20,Female,Medicine,Second year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,Don't know,Don't know,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every two months,More than 2 times a year,Irregular,None,Tooth discoloration
8/2/2024 8:55:44,Yes,19,Female,Medicine,First year,Don't know,Brushing too hard,Affecting appearance,Application of fluoride,None of the above,Regular visit to dentist,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, None",No problem
8/2/2024 9:18:16,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar",Brushing too hard,Don't know,Application of fluoride,Heart diseases,Regular visit to dentist,2,2 to 3 minutes,Every two months,Twice a year,Irregular,Mouthwash,Dental caries
8/2/2024 10:12:49,Yes,24,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Don't know",Application of fluoride,"Heart diseases, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Mouthwash, Sugar-free chewing gum, Toothpick",Dental caries
8/2/2024 10:54:57,Yes,21,Female,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing",Don't know,Don't know,Application of fluoride,"Heart diseases, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,Dental caries
8/2/2024 13:05:27,Yes,19,Female,Medicine,First year,Toothpaste without fluoride,Brushing too hard,Including periodontal diseases,Application of fluoride,Other diseases,Self-administration of oral hygiene,2,More than 3 minutes,Every three months,Once a year,Irregular,Toothpick,No problem
8/2/2024 13:06:01,Yes,20,Female,Medicine,Third year,Dynamic of oral micro-flora,"Periodontal disease, Brushing too hard, Systemic disease",Don't know,"Application of fluoride, Tooth scaling",,Self-administration of oral hygiene,2,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Horizontal scrub,"Dental floss, Mouthwash","Dental caries, Toothache, Tooth discoloration, Tooth hypersensitivity"
8/2/2024 13:45:29,Yes,24,Female,Dentistry,Fourth year,Frequent ingestion of sugar,Periodontal disease,Inducing dental caries,Application of fluoride,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,Dental floss,Dental caries
8/2/2024 14:01:30,Yes,20,Female,Dentistry,Second year,Don't know,"Periodontal disease, Brushing too hard",Inducing dental caries,"Application of fluoride, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum",No problem
8/2/2024 14:23:21,Yes,20,Female,Medicine,Second year,Frequent ingestion of sugar,Brushing too hard,Don't know,Don't know,Diabetes mellitus,Self-administration of oral hygiene,2,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Modified pass technique,Sugar-free chewing gum,Dental caries
8/2/2024 14:59:55,Yes,20,Female,Dentistry,Second year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries",Application of fluoride,"Diabetes mellitus, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,More than 2 times a year,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
8/2/2024 15:19:31,Yes,19,Female,Medicine,Second year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease",Don't know,Don't know,"Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",1,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,"Oral ulcers, No problem"
8/2/2024 16:43:19,Yes,24,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Don't know,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Mouthwash, Sugar-free chewing gum",No problem
8/2/2024 16:46:23,Yes,25,Female,Medicine,Fifth year,Inadequate tooth brushing,"Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Don't know,Don't know,Regular visit to dentist,1,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,,"Dental caries, Toothache"
8/2/2024 16:49:00,Yes,20,Male,Medicine,Second year,"Dynamic of oral micro-flora, Inadequate tooth brushing, Don't know",Brushing too hard,Don't know,Don't know,"Other diseases, Don't know","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,None,"No problem, Broken tooth from trauma .not shining teeth "
8/2/2024 17:20:28,Yes,20,Female,Dentistry,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases",Application of fluoride,Cancer,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Toothache"
8/2/2024 20:07:13,Yes,19,Female,Dentistry,First year,Frequent ingestion of sugar,Don't know,Inducing dental caries,"Application of fluoride, Don't know","Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,,Sugar-free chewing gum,Dental caries
8/2/2024 20:43:06,Yes,21,Female,Medicine,Second year,Toothpaste without fluoride,Brushing too hard,Inducing dental caries,Application of fluoride,Don't know,Self-administration of oral hygiene,More than 2,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,Mouthwash,"Bad breath, Dental caries"
8/3/2024 3:42:10,Yes,20,Female,Medicine,Second year,,,,,,,,,,,,,
8/3/2024 6:38:44,Yes,22 year,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Sugar-free chewing gum,"Gingival bleeding, Toothache"
8/3/2024 6:50:00,Yes,19,Female,Dentistry,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Including periodontal diseases,Application of fluoride,Don't know,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,Twice a year,Horizontal scrub,"Dental floss, Mouthwash, Sugar-free chewing gum",Bad breath
8/3/2024 7:13:12,Yes,25,Female,Medicine,Third year,Don't know,Brushing too hard,Don't know,Tooth scaling,Hypertension,Regular visit to dentist,2,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,Dental floss,"Dental caries, Gingival bleeding"
8/3/2024 20:04:32,Yes,21,Female,Medicine,Third year,Don't know,Brushing too hard,"Affecting appearance, Don't know",Don't know,"Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every month,Twice a year,Vertical scrub,Sugar-free chewing gum,No problem
8/4/2024 17:30:12,Yes,24,Female,Medicine,Fourth year,Dynamic of oral micro-flora,Don't know,Inducing dental caries,Don't know,Cancer,Regular visit to dentist,2,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,Tooth discoloration
8/4/2024 18:13:11,Yes,21,Female,Dentistry,Second year,Inadequate tooth brushing,Periodontal disease,Don't know,Application of fluoride,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,Dental floss,"Bad breath, Dental caries, Tooth hypersensitivity"
8/4/2024 18:48:21,Yes,25,Female,Medicine,Fourth year,"Toothpaste without fluoride, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard",Don't know,"Application of fluoride, Tooth scaling",Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every month,Once a year,Horizontal scrub,Mouthwash,No problem
8/5/2024 15:04:26,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing",Periodontal disease,Don't know,"Application of fluoride, Tooth scaling",Don't know,"Self-administration of oral hygiene, Regular visit to dentist",1,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,"Tooth discoloration, "
8/5/2024 23:51:52,Yes,24,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing",Systemic disease,Don't know,Application of fluoride,"Cancer, Other diseases",Self-administration of oral hygiene,,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Mouthwash, Sugar-free chewing gum","Dental caries, Gingival bleeding"
8/9/2024 14:11:24,Yes,23,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,One minute or less,Every three months,Once a year,Modified pass technique,"Mouthwash, Toothpick","Dental caries, Toothache, Tooth discoloration"
8/9/2024 14:58:52,Yes,25,Male,Medicine,Fifth year,Inadequate tooth brushing,"Periodontal disease, Systemic disease",Inducing dental caries,"Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,Vertical scrub,"Dental floss, Mouthwash",No problem
8/9/2024 21:23:33,Yes,25,Female,Dentistry,Fifth year,Frequent ingestion of sugar,Periodontal disease,Inducing dental caries,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,Twice a year,Modified pass technique,Dental floss,"Dental caries, Toothache"
8/9/2024 21:50:34,Yes,22,Female,Dentistry,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling",Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",More than 2,2 to 3 minutes,Every three months,Twice a year,Fones technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Tooth hypersensitivity"
8/10/2024 23:08:06,Yes,25,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Inducing dental caries,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Other diseases",Regular visit to dentist,2,2 to 3 minutes,Every three months,More than 2 times a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum",Dental caries
8/11/2024 5:45:54,Yes,26,,Dentistry,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum","Bruxism, Gingival bleeding"
8/11/2024 11:12:53,Yes,24,Female,Dentistry,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Sugar-free chewing gum",Bruxism
8/11/2024 11:54:21,Yes,25,Female,Dentistry,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,"Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Hypertension","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,Dental floss,Dental caries
8/11/2024 12:09:06,Yes,23,Female,Dentistry,Third year,Frequent ingestion of sugar,"Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,One minute or less,Every three months,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Sugar-free chewing gum",Gingival bleeding
8/11/2024 13:41:26,Yes,20,Female,Medicine,Second year,Inadequate tooth brushing,Don't know,Don't know,Application of fluoride,Diabetes mellitus,Self-administration of oral hygiene,2,More than 3 minutes,Every three months,Twice a year,Horizontal scrub,Mouthwash,Tooth hypersensitivity
8/11/2024 14:03:54,Yes,21,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Gingival bleeding"
8/11/2024 14:58:40,Yes,26,Female,Dentistry,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora",Periodontal disease,Including periodontal diseases,"Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Hypertension",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",Calculus 
8/11/2024 17:17:23,Yes,26,Female,Dentistry,Fifth year,Inadequate tooth brushing,"Periodontal disease, Brushing too hard","Inducing dental caries, Including periodontal diseases",Pit & fissure sealing,"Diabetes mellitus, Other diseases",Regular visit to dentist,2,2 to 3 minutes,Every three months,More than 2 times a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Dental caries, Gingival bleeding, Oral ulcers, Toothache, Tooth discoloration, Tooth hypersensitivity"
8/11/2024 19:12:57,Yes,20,Female,Medicine,Second year,,,,,,,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,None,"Gingival bleeding, Toothache, Tooth hypersensitivity, "
8/31/2024 15:11:53,Yes,24,Male,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,1,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,None,No problem
8/31/2024 16:57:29,Yes,25,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease",Including periodontal diseases,"Application of fluoride, Pit & fissure sealing, Tooth scaling",Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every month,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
8/31/2024 21:53:49,Yes,26,Male,Medicine,Fourth year,"Toothpaste without fluoride, Dynamic of oral micro-flora","Natural physiological phenomenon, Brushing too hard",Don't know,"Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer",Self-administration of oral hygiene,2,One minute or less,Every month,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum",Tooth discoloration due to smoking and coffee
9/1/2024 9:51:16,Yes,24,Female,Medicine,Fourth year,Dynamic of oral micro-flora,"Brushing too hard, Systemic disease",Including periodontal diseases,"Application of fluoride, Tooth scaling","None of the above, Other diseases",Regular visit to dentist,1,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Toothpick",Toothache
9/3/2024 0:22:29,Yes,20,Female,Medicine,Second year,Inadequate tooth brushing,"Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Tooth scaling,Don't know,Self-administration of oral hygiene,2,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,Tooth hypersensitivity
9/3/2024 18:54:08,Yes,18,Male,Medicine,First year,Frequent ingestion of sugar,Brushing too hard,"Affecting appearance, Including periodontal diseases",Don't know,Other diseases,Regular visit to dentist,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,Mouthwash,No problem
9/4/2024 13:06:33,Yes,25,Female,Medicine,Fifth year,Frequent ingestion of sugar,"Brushing too hard, Systemic disease",Don't know,Don't know,Other diseases,Self-administration of oral hygiene,1,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,Sugar-free chewing gum,Dental caries
9/7/2024 15:16:11,Yes,27,Male,Medicine,Fourth year,"Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",1,More than 3 minutes,Every month,When I have a dental problem/oral disease,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick",No problem
9/7/2024 23:20:55,Yes,21,Female,Medicine,Fourth year,"Toothpaste without fluoride, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Tooth scaling,"Heart diseases, Diabetes mellitus, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,Once a year,Modified pass technique,Mouthwash,"Gingival bleeding, Tooth hypersensitivity"
9/7/2024 23:28:08,Yes,20,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Hypertension","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Tooth discoloration"
9/7/2024 23:29:30,Yes,21,Female,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Inducing dental caries,Tooth scaling,Don't know,Self-administration of oral hygiene,More than 2,More than 3 minutes,Every three months,More than 2 times a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum","Dental caries, Toothache"
9/8/2024 0:39:35,Yes,22,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease",Don't know,Application of fluoride,"Heart diseases, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,Tooth discoloration
9/8/2024 4:36:44,Yes,20,Female,Medicine,Third year,"Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, None of the above",Self-administration of oral hygiene,1,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,"Dental caries, Tooth discoloration"
9/8/2024 5:36:47,Yes,22,Female,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Pit & fissure sealing,"Heart diseases, Cancer, Other diseases",Regular visit to dentist,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,Mouthwash,"Bad breath, Dental caries, Oral ulcers, Tooth discoloration"
9/8/2024 6:27:32,Yes,21,Female,Medicine,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Horizontal scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Toothache, Tooth hypersensitivity"
9/8/2024 6:48:43,Yes,20,Male,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",Toothache
9/8/2024 8:47:05,Yes,,Female,Medicine,Fifth year,Dynamic of oral micro-flora,"Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Don't know,Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,Mouthwash,No problem
9/8/2024 9:37:54,Yes,24,Female,Medicine,Fifth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora","Periodontal disease, Brushing too hard","Including periodontal diseases, Not a big deal",Pit & fissure sealing,"Heart diseases, Diabetes mellitus",Self-administration of oral hygiene,2,More than 3 minutes,Every three months,More than 2 times a year,Horizontal scrub,Dental floss,"Bad breath, Oral ulcers, Toothache"
9/8/2024 9:37:58,Yes,22,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,Modified pass technique,Mouthwash,"Dental caries, Toothache, Tooth discoloration, Tooth hypersensitivity"
9/8/2024 10:42:41,Yes,22,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases, Not a big deal","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Don't know","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every two months,Twice a year,Fones technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Toothache, Tooth hypersensitivity"
9/8/2024 10:51:59,Yes,24,Male,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases",Self-administration of oral hygiene,2,More than 3 minutes,Every two months,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,Tooth hypersensitivity
9/8/2024 11:15:29,Yes,24,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Tooth scaling,"Heart diseases, Diabetes mellitus, Other diseases",Self-administration of oral hygiene,2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Sugar-free chewing gum,Tooth hypersensitivity
9/8/2024 11:36:48,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Don't know","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,More than 2 times a year,Fones technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Tooth discoloration, Tooth hypersensitivity"
9/8/2024 11:52:23,Yes,24,Male,Medicine,Third year,Inadequate tooth brushing,"Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Don't know,Other diseases,Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,Tooth discoloration
9/8/2024 12:17:37,Yes,19,Female,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Don't know,Tooth scaling,"Diabetes mellitus, Don't know","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,No problem
9/8/2024 12:35:46,Yes,19,Male,Medicine,First year,"Frequent ingestion of sugar, Inadequate tooth brushing",Don't know,Don't know,Don't know,Don't know,Self-administration of oral hygiene,1,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,Mouthwash,Gingival bleeding
9/8/2024 13:29:45,Yes,23,Female,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard, Systemic disease",Don't know,"Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus","Self-administration of oral hygiene, Regular visit to dentist",More than 2,2 to 3 minutes,Every month,Twice a year,Modified pass technique,"Dental floss, Sugar-free chewing gum, Toothpick","Bruxism, Dental caries, Oral ulcers, Toothache"
9/8/2024 13:48:55,Yes,22,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Including periodontal diseases",Tooth scaling,Heart diseases,Self-administration of oral hygiene,2,One minute or less,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash","Gingival bleeding, Toothache, Tooth hypersensitivity"
